name,WAPE,NSE,Pearson,cob95,calib_err,erro_pico_abs,temporadas
Boa Vista-RR,0.811,-0.997,0.021,0.795,0.19,8.0,3
Palmas-TO,0.815,-0.47,0.674,0.865,0.127,1.0,4
Aracaju-SE,0.827,-2.886,0.245,0.538,0.391,12.5,4
Fortaleza-CE,0.847,-1.52,0.716,0.962,0.133,4.0,4
Cuiaba-MT,0.886,-0.522,0.491,0.639,0.326,7.5,4
Macapa-AP,0.892,-1.731,0.102,0.457,0.443,11.5,4
Campo Grande-MS,0.894,-0.496,0.571,0.885,0.159,5.5,4
Porto Velho-RO,0.906,-0.657,0.478,0.298,0.61,4.5,4
Manaus-AM,0.925,-3.892,0.455,0.861,0.223,4.0,4
Natal-RN,0.926,-3.031,0.4,0.505,0.485,8.0,4
Recife-PE,0.939,-2.87,-0.031,0.327,0.586,9.0,4
Joao Pessoa-PB,0.943,-7.094,0.681,0.014,0.783,2.5,4
Maceio-AL,0.947,-1.886,-0.006,0.601,0.404,12.5,4
Sao Luis-MA,0.948,-2.61,0.5,0.25,0.666,6.0,4
Belem-PA,0.952,-1.666,0.656,0.279,0.601,5.0,4
Rio Branco-AC,0.952,-0.671,0.643,0.538,0.422,5.5,4
Rio de Janeiro-RJ,0.954,-1.396,0.661,0.63,0.45,5.5,4
Teresina-PI,0.956,-1.583,0.841,0.115,0.729,4.5,4
Salvador-BA,0.96,-6.913,0.367,0.173,0.689,6.5,4
Curitiba-PR,0.964,-0.798,0.834,0.38,0.563,2.5,4
Goiania-GO,0.965,-2.417,0.899,0.889,0.297,1.5,4
Belo Horizonte-MG,0.971,-1.348,0.808,0.779,0.323,3.0,4
Brasilia-DF,0.983,-5.359,0.622,0.466,0.57,3.5,4
Porto Alegre-RS,0.995,-0.385,0.816,0.37,0.58,3.5,4
Sao Paulo-SP,0.996,-0.714,0.924,0.101,0.751,2.5,4
Florianopolis-SC,0.997,-1.432,0.881,0.048,0.768,2.0,4
Vitoria-ES,1.003,-0.835,0.427,0.417,0.501,4.0,3
